,Driver,Stint,Compound,LapCount,FirstLap,LastLap,race_number,fastest_laptime,number_quick_laptime,avg_quick_laptime,fp_session,SpeedTotal,high_engine_mode,low_engine_mode,quali_sim,race_sim,year,event_format,q1,q2,q3
3979,RUS,1.0,SOFT,19,1.0,19.0,16.0,0 days 00:00:56.079000,7.0,0 days 00:00:56.899000,fp1,1115.0,1,0,0,1,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3980,RUS,2.0,SOFT,3,20.0,22.0,16.0,0 days 00:00:55.030000,1.0,0 days 00:00:55.030000,fp1,953.0,0,1,1,0,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3981,RUS,3.0,SOFT,3,23.0,25.0,16.0,0 days 00:00:55.082000,1.0,0 days 00:00:55.082000,fp1,953.5,0,1,1,0,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3982,RUS,4.0,SOFT,3,26.0,28.0,16.0,0 days 00:00:57.215000,1.0,0 days 00:00:57.215000,fp1,961.5,0,0,0,1,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3983,RUS,5.0,SOFT,4,29.0,32.0,16.0,0 days 00:00:54.546000,1.0,0 days 00:00:54.546000,fp1,1076.0,0,0,1,0,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3984,RUS,7.0,SOFT,16,34.0,49.0,16.0,0 days 00:00:57.987000,14.0,0 days 00:00:59.000500,fp1,1108.0,1,0,0,1,2020,conventional,0 days 00:00:54.160000,0 days 00:00:53.819000,0 days 00:00:53.403000
3985,BOT,4.0,SOFT,6,4.0,9.0,16.0,0 days 00:00:55.154000,2.0,0 days 00:00:55.345000,fp1,1067.5,0,0,1,0,2020,conventional,0 days 00:00:53.904000,0 days 00:00:53.803000,0 days 00:00:53.377000
3986,BOT,5.0,SOFT,11,10.0,20.0,16.0,0 days 00:00:55.292000,3.0,0 days 00:00:56.741000,fp1,1121.0,1,0,0,1,2020,conventional,0 days 00:00:53.904000,0 days 00:00:53.803000,0 days 00:00:53.377000
3987,BOT,6.0,SOFT,13,21.0,33.0,16.0,0 days 00:00:54.868000,3.0,0 days 00:00:55.155000,fp1,1036.0,0,1,1,0,2020,conventional,0 days 00:00:53.904000,0 days 00:00:53.803000,0 days 00:00:53.377000
3988,BOT,7.0,SOFT,11,34.0,44.0,16.0,0 days 00:00:57.773000,4.0,0 days 00:00:58.717000,fp1,1105.5,0,0,0,1,2020,conventional,0 days 00:00:53.904000,0 days 00:00:53.803000,0 days 00:00:53.377000
3989,GIO,4.0,SOFT,6,19.0,24.0,16.0,0 days 00:00:55.858000,2.0,0 days 00:00:56.158500,fp1,1073.5,1,0,1,0,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3990,GIO,7.0,SOFT,3,29.0,31.0,16.0,0 days 00:00:58.206000,1.0,0 days 00:00:58.206000,fp1,999.5,0,1,0,1,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3991,GIO,8.0,SOFT,3,32.0,34.0,16.0,0 days 00:00:57.580000,1.0,0 days 00:00:57.580000,fp1,1092.5,1,0,0,1,2020,conventional,0 days 00:00:54.523000,0 days 00:00:54.377000,
3992,RIC,1.0,MEDIUM,7,1.0,7.0,16.0,0 days 00:00:55.647000,3.0,0 days 00:00:55.733000,fp2,1000.0,0,0,1,0,2020,conventional,0 days 00:00:54.388000,0 days 00:00:53.871000,0 days 00:00:53.957000
